"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1535206","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1566386","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1598750","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1631005","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1684247","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1730965","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1756074","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1681709","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1777817","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1863319","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1899825","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1088879","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1117891","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1143176","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1165235","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1209153","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1241089","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1260212","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1179085","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1248805","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1316947","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1340909","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","475466","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","489473","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","500649","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","510226","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","532147","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","546223","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","550894","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","539653","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","569226","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","578430","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","582564","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","133579","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","140541","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","144852","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","150164","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","161027","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","165534","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","165793","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","153404","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","168287","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","168569","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","173326","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","75124","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","77569","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","80397","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","81555","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","84988","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","87931","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","89630","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","82283","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","93593","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","101482","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","102692","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","266580","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","271300","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","275354","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","278513","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","286132","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","292760","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","295468","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","303441","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","307238","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","308767","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62787257","1.1.6","307236","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","613472","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","628440","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","642548","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","655025","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","677006","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","694858","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","709300","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","639966","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","680580","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","740270","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Services","Dollars","81","millions","6","v62787258","1.1.7","760484","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","28086","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","27856","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","29166","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","31791","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","31910","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","32758","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","33803","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","33932","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","34018","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","35989","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62787259","1.1.8","37381","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","418378","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","420691","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","426425","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","434005","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","443184","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","457122","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","462057","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","467908","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","494221","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","509794","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62787260","1.1.9","520940","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","508722","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","520168","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","493068","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","470125","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","485847","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","497330","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","501192","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","482321","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","524821","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","518285","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62787261","1.1.10","509843","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","425871","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","439935","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","411918","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","389849","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","400453","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","409754","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","416472","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","395546","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","436852","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","430493","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62787262","1.1.11","418328","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","147452","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","149879","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","155641","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","161755","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","165542","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","163508","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","162212","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","166859","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","190252","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","170038","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62787263","1.1.12","155638","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","234809","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","245885","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","218001","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","191287","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","194974","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","201358","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","207736","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","182117","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","194396","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","206848","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62787264","1.1.13","208863","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","151106","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","160583","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","138128","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62787265","1.1.14","121825","","","","0"
